Municipio,Codigo_DANE,Documento,ID_Proyecto,Nombre_Proyecto,Codigos_MGA,Indicador de Producto(MGA),Productos,Calificacion,Justificacion
Cajicá,25126,SisPT – Plan indicativo - Productos,1-1,Estudio de crecimiento de la huella urbana de los municipios de la provincia.,400203400,Estudios o diseños realizados,47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial,2,El producto seleccionado es fundamental para entender las dinámicas de crecimiento y cumple parcialmente con los requerimientos del proyecto.
Cajicá,25126,SisPT – Plan indicativo - Productos,1-2,"Estudio para deﬁnir la estructura ecológica principal de la provincia (ecosistemas naturales, fuentes hídricas, áreas de protección, amenazas naturales y zonas de riesgo).",320200201,Documentos de planeación de biodiversidad y sus Servicio ecosistemicos formulados,"7. Realizar 1 campaña anual para la divulgación, promoción, prevención de la Infracción Ambiental como medida preventiva",1,"El producto seleccionado facilita el cumplimiento del objetivo del proyecto al abordar la biodiversidad, aunque no cumple con todos los requerimientos técnicos."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-3,"Estudios de vulnerabilidad ante los impactos observados y esperados del cambio climático, como son: inundaciones, sequías, ascenso del nivel del mar, aumento de la temperatura, disminución de las lluvias y de las fuentes de suministro de agua.",320600200,Documentos de lineamientos técnicos realizados,20. Formular e implementar anualmente al 100% el Plan Integral de Gestión de Cambio Climático,1,"El producto seleccionado facilita el cumplimiento del objetivo del proyecto al abordar la gestión del cambio climático, aunque no cubre todos los requerimientos técnicos."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-4,Armonización de los instrumentos de política pública relacionados con la gestión de recursos ambientales,"459902303, 320300101",Sistema de Gestión certificado; Documentos de lineamientos técnicos para la implementación de la Política Nacional de Gestión Integral del Recurso Hídrico adoptados,268. Implementar anualmente 1 Modelo Integrado de Planeación y Gestión MIPG con sus políticas anexas; 12.Formular e implementar anualmente al 100% el plan de acción de la Política Pública Municipal para la Gestión Integral del Agua. SRB Orden 4.23,2,"Los productos seleccionados son relevantes para la gestión ambiental, aunque no cumplen completamente con todos los requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-5,Diseño de un Modelo Integral para la Ocupación Sostenible del Territorio de la Provincia Sabana Centro,"400203400, 400201603, 320300207, 400201600, 400202100",Estudios o diseños realizados; Documentos de formulación del Plan de Ordenamiento Departamental elaborados; Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados; Documentos de planeación elaborados; Parques construidos,"47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 46. Elaborar e implementar 1 Plan anual para el desarrollo de las actividades de planificación del territorio. SRB ORDEN 4.10; 4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19; 44.Gestionar la aprobación y adoptar 1 revisión excepcional del Plan Básico de Ordenamiento Territorial. SRB orden 4.18 -; 59. Realizar 1 gestión para construir 1 Parque para la integración familiar y comunitaria en área de cesión conocido como Tronquitos",2,"Los productos seleccionados son relevantes para el objetivo del proyecto, ya que abordan aspectos de ordenamiento territorial y gestión ambiental, aunque no cumplen completamente con todos los requerimientos establecidos."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-6,Construcción de una agenda conjunta para la reducción de GEI y gestión del riesgo,"450301700, 450302301, 320300101, 190505003, 450106500",Estudios de riesgo de desastres elaborados; Plan de gestión del riesgo de desastres formulado; Documentos de lineamientos técnicos para la implementación de la Política Nacional de Gestión Integral del Recurso Hídrico adoptados; Personas apoyadas; Comandos de policía construidos y dotadas,272. Realizar 1 estrategia para la mitigación del riesgo; 271. Actualizar e implementar al 100% el plan de acción anual del Plan Municipal para la Gestión del Riesgo de Desastres; 12.Formular e implementar anualmente al 100% el plan de acción de la Política Pública Municipal para la Gestión Integral del Agua. SRB Orden 4.23; 179. Garantizar a través de 1 contrato interadministrativo la ejecución del programa de atención psicosocial y salud integral de las víctimas (PAPSIVI); 288. Gestionar 1 proyecto para la construcción del Comando de Policía de Cajicá,2,"Los productos seleccionados contribuyen a la gestión del riesgo y la mitigación del cambio climático, aunque no cumplen completamente con todos los requerimientos técnicos."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-7,Promoción y fortalecimiento del programa “Multiplicadores de Conciencia Ambiental”,"320100203, 320201402",Programas de gestión ambiental sectorial diseñados; Talleres realizados,17. Elaborar e Implementar 1 Plan Municipal anual para el desarrollo y la competitividad de la actividad del reciclaje en Cajicá; 5. Desarrollar 1 campaña anual de concientización a la sociedad civil para proteger las áreas de conservación ambiental. Srb Orden 4.19,2,"Los productos seleccionados fomentan la participación y vinculación en temas ambientales, aunque no cumplen completamente con todos los requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-8,Formulación del proyecto Sistema de parques eco-turísticos y corredores verdes,"400202000, 230100400",Espacio publico adecuado; Documentos de planeación elaborados,57. Formular e implementar al 100% el plan de acción anual del Plan Maestro de Espacio Público y Movilidad Cero Emisiones para Cajicá; 317. Formular e implementar al 100% el plan de acción anual del Plan Estratégico de Tecnologías de la Información y las Comunicaciones -PETIC -,2,"Los productos seleccionados contribuyen parcialmente al objetivo del proyecto, ya que facilitan la planificación y gestión del espacio público, aunque no cumplen completamente con todos los requerimientos establecidos."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-9,Estudios y diseños del macro proyecto paisajístico Parque Lineal Río Bogotá,"320300207, 320200100, 400201600, 400300600, 320200110",Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados; Documentos de lineamientos técnicos realizados; Documentos de planeación elaborados; Documentos de planeación elaborados; Documento de lineamientos técnicos para las administración del recurso hídrico,"4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19; 10. Actualizar e implementar al 100% el plan de acción anual del SIGAM - Sistema de Gestión Ambiental Municipal - Agenda Ambiental para el municipio; 44.Gestionar la aprobación y adoptar 1 revisión excepcional del Plan Básico de Ordenamiento Territorial. SRB orden 4.18 -; 40.Actualizar e Implementar al 100% el plan de acción anual del Plan de Saneamiento y Manejo de Vertimientos - PSMV . SRB orden 4.57; 1. Elaborar y ejecutar 1 Plan anual para la adquisición de predios, protección y mantenimiento de áreas de reserva hídrica. SRB - ORDEN 4.8 - 4,25",2,"Los productos seleccionados están alineados con la gestión ambiental y la planificación del uso del agua, que son fundamentales para el objetivo del proyecto. Sin embargo, no todos cumplen completamente con los requerimientos específicos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-10,Formulación de un programa regional para la gestión y aprovechamiento económico integral de residuos,400300602,Plan Integral de gestión de residuos sólidos (PGIRS) actualizado,43. Actualizar e implementar al 100 % el plan de acción anual del Plan de Gestión Integral Residuos Sólidos - PGIRS,3,El producto seleccionado cumple con el objetivo del proyecto y aborda todos los requerimientos técnicos necesarios para la gestión de residuos.
